body,quantity,value,unit,epoch,center,frame,ephemeris,source,url,retrieved,note,sigma,record_id
Charon,state_vy,9.032347757027705e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=9.032347757027705e-02; printed_survey2=9.032347757027705e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-5c482f2e
Charon,state_vz,1.623640495333425e-01,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.623640495333425e-01; printed_survey2=1.623640495333425e-01); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-fb546a04
Nix,state_x,9.764144357901037e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=9.764144357901037e+03; printed_survey2=9.764144357901037e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-d92d4914
Nix,state_y,1.998832854943163e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.998832854943163e+03; printed_survey2=1.998832854943163e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-00470ba9
Nix,state_z,-4.761461969021996e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-4.761461969021996e+04; printed_survey2=-4.761461969021996e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-e79acb57
Nix,state_vx,-1.007596311396386e-01,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.007596311396386e-01; printed_survey2=-1.007596311396386e-01); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-062b6e5b
Nix,state_vy,-9.769235923382032e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-9.769235923382032e-02; printed_survey2=-9.769235923382032e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-74680bac
Nix,state_vz,-2.513941680072823e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.513941680072823e-02; printed_survey2=-2.513941680072823e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-4660199c
Hydra,state_x,3.375751580992690e+03,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=3.375751580992690e+03; printed_survey2=3.375751580992690e+03); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-4cbad9f8
Hydra,state_y,1.303119640134069e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=1.303119640134069e+04; printed_survey2=1.303119640134069e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-73e7b34b
Hydra,state_z,6.351970466357662e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=6.351970466357662e+04; printed_survey2=6.351970466357662e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-d5884b98
Hydra,state_vx,8.993666467370454e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=8.993666467370454e-02; printed_survey2=8.993666467370454e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-f449bc38
Hydra,state_vy,8.123237137057272e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=8.123237137057272e-02; printed_survey2=8.123237137057272e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-18939f9d
Hydra,state_vz,-2.061381818398100e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.061381818398100e-02; printed_survey2=-2.061381818398100e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-f85fb7ea
Kerberos,state_x,4.099795086397774e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=4.099795086397774e+04; printed_survey2=4.099795086397774e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-8a3c36f3
Kerberos,state_y,3.530905838766645e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=3.530905838766645e+04; printed_survey2=3.530905838766645e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-efc5b249
Kerberos,state_z,-1.964493859809918e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.964493859809918e+04; printed_survey2=-1.964493859809918e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-afe3bc97
Kerberos,state_vx,-2.453280916020465e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.453280916020465e-02; printed_survey2=-2.453280916020465e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-91be6309
Kerberos,state_vy,-3.983643368400818e-02,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-3.983643368400818e-02; printed_survey2=-3.983643368400818e-02); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-8518b79d
Kerberos,state_vz,-1.221434641559037e-01,km/s,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-1.221434641559037e-01; printed_survey2=-1.221434641559037e-01); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-3101b3af
Styx,state_x,-2.043723821810914e+04,km,JD 2452600.5 TDB,Pluto system barycenter (Horizons @9),ICRF / J2000 equatorial (REF_PLANE=FRAME),PLU060/DE440,"JPL Horizons (Pre-computed solution PLU060/DE440; source: plu060_merged); vectors, km and km/s, TDB",https://ssd.jpl.nasa.gov/api/horizons.api,2026-09-22,sigma_kind=digits; ephemeris=PLU060/DE440; the two surveys print the same digits for this component (printed_survey1=-2.043723821810914e+04; printed_survey2=-2.043723821810914e+04); Horizons vectors output prints no sigma and no covariance; covariance=not_published,,PSS-df540723
